"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@kiraaxchaos I take kratom and cbd to help with my pain now but everyone is different on what helps. I am sorry to hear that",FALSE,0,"kiraaxchaos",2019-08-14 15:52:26,FALSE,"1161661191044902913","1161666898863505410","37031658","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","justnekochan",0,FALSE,FALSE,NA,NA
"2","@SaveTurtles462 @CLewandowski_ I thought about trying Kratom but when I went to check it out, there is so many form… https://t.co/P0Qaakq6HU",FALSE,0,"SaveTurtles462",2019-08-14 15:50:02,TRUE,"1161654887903571968","1161666295470968833","865593627451547648","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sherry94798581",0,FALSE,FALSE,NA,NA
"3","The Kratom tea looks good",FALSE,0,"LilBillhook",2019-08-14 15:40:34,FALSE,"1161652251624116224","1161663915534757888","2277245706","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LilBillhook",0,FALSE,FALSE,NA,NA
"4","RT @KatsBotanicals: How newbies should use Kratom #iamkratom https://t.co/LOQe9o0XUr https://t.co/YuKXgfEbSd",FALSE,0,NA,2019-08-14 15:40:07,FALSE,NA,"1161663802129223682",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","delladreamer",1,TRUE,FALSE,NA,NA
"5","@smithjarrod2002 @SaveTurtles462 @CLewandowski_ I’ve also been on a billion different add, anti-depressants,anti-an… https://t.co/2uGt6VBgdP",FALSE,0,"RyanWithAK",2019-08-14 15:37:43,TRUE,"1161662479568498688","1161663198287675392","1055957625005727745","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RyanWithAK",0,FALSE,FALSE,NA,NA
"6","@smithjarrod2002 @SaveTurtles462 @CLewandowski_ I believe a huge advantage of Kratom to me is the fact that I don’t… https://t.co/3QKPDuwxkV",FALSE,0,"smithjarrod2002",2019-08-14 15:34:52,TRUE,"1161661040729325568","1161662479568498688","958538457365663744","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RyanWithAK",0,FALSE,FALSE,NA,NA
"7","RT @Peter_Grinspoon: What to do about Kratom? Regulate? Legalize? Restrict? Outlaw??
Does it treat pain and addiction? Is it dangerous?

#k…",FALSE,0,NA,2019-08-14 15:34:25,FALSE,NA,"1161662367429562368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Matt_Grimshaw",14,TRUE,FALSE,NA,NA
"8","@smithjarrod2002 @SaveTurtles462 @CLewandowski_ I had to be free from opioids for a good stretch of time before I c… https://t.co/ndamCuWYJe",FALSE,1,"smithjarrod2002",2019-08-14 15:32:10,TRUE,"1161661040729325568","1161661801647370240","958538457365663744","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RyanWithAK",0,FALSE,FALSE,NA,NA
"9","A Good Post On Mitragyna Speciosa, Kratom https://t.co/pH3pFBmgSh",FALSE,0,NA,2019-08-14 15:31:12,FALSE,NA,"1161661555651633152",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","SusanMitragyna",0,FALSE,FALSE,NA,NA
"10","@SaveTurtles462 @RyanWithAK @CLewandowski_ how did you do that&gt; kratom does help with the stomach pain.. but the depression..",FALSE,0,"SaveTurtles462",2019-08-14 15:29:09,FALSE,"1161654887903571968","1161661040729325568","865593627451547648","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","smithjarrod2002",0,FALSE,FALSE,NA,NA
"11","Our Instagram was shut down for having a kratom business. @ElPasoKratom Instagram no longer exists! This is ridicul… https://t.co/JMpvaMBYEX",FALSE,0,NA,2019-08-14 15:24:44,TRUE,NA,"1161659931726155781",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ElPasoKratom",0,FALSE,FALSE,NA,NA
"12","Gm Kratom fam",FALSE,1,NA,2019-08-14 15:20:08,FALSE,NA,"1161658770474356736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Thorislost",0,FALSE,FALSE,NA,NA
"13","an old lady tried telling me my major is pointless and there is no money in it while she struggles to pay for a $15 bag of kratom <ed><U+00A0><U+00BE><ed><U+00B4><U+0097>",FALSE,2,NA,2019-08-14 15:15:05,FALSE,NA,"1161657499755245568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","calityn",0,FALSE,FALSE,NA,NA
"14","RT @SaveTurtles462: @CLewandowski_ Research pure leaf kratom.  I was a opiate addict for 15+ years, I now have 2 years sobriety from pure l…",FALSE,0,NA,2019-08-14 15:11:57,FALSE,NA,"1161656714707361792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RyanWithAK",1,TRUE,FALSE,NA,NA
"15","Gonna make a podcast called Honk Honk Cabbage where I talk about Kratom and right wing libertarian politics",FALSE,0,NA,2019-08-14 15:11:29,FALSE,NA,"1161656595299885058",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KazooieSaysBree",0,FALSE,FALSE,NA,NA
"16","OPMS shots in stock! Feel better, enhance focus and elevate your mood today! #opms #shots #kratom #kratomnj… https://t.co/hOSOMUt6A1",FALSE,0,NA,2019-08-14 15:08:03,TRUE,NA,"1161655730363125761",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","GS_SmokeVape",0,FALSE,FALSE,NA,NA
"17","<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #enteógenos #medicinapsicodélica #experienciamística #entheogen #peyote #salviadivinorum #kratom #caapico… https://t.co/Zar2SHetDD",FALSE,0,NA,2019-08-14 15:05:54,TRUE,NA,"1161655191114047488",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","CaapiSAS",0,FALSE,FALSE,NA,NA
"18","@CLewandowski_ Research pure leaf kratom.  I was a opiate addict for 15+ years, I now have 2 years sobriety from pu… https://t.co/xy40Y257yd",FALSE,3,"CLewandowski_",2019-08-14 15:04:42,TRUE,"1161653077218385920","1161654887903571968","4121225056","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SaveTurtles462",1,FALSE,FALSE,NA,NA
"19","I’ve just unpacked kilos of kratom (various kinds) and it’s going out the door.  If you’re interested in purchasing… https://t.co/o72fTpndtf",FALSE,0,NA,2019-08-14 14:59:00,TRUE,NA,"1161653454047195136",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","herbworld",0,FALSE,FALSE,NA,NA
