consignee,numManufacturers,numImporters,frac of KG shipped when manu equals shipper,normalizedWeight,numUSports,consignee inexperienced,avg dist manu - place of receipt,avg dist place of receipt - foreign port,transnatl manu - place of receipt,transnatl place of receipt - foreign port,distance consignee - US port,shipment variation,manufacturer variation,manufacturer dispersion,chineseShipments,numSampled,numRefused,inspected prior to 2008,inspected in 2008,bad inspection in 2008
Censea Inc,1,1,1.0,0.16686531315939085,1,0.0,2.089659964010564,3.4747426212063415,0.0,1.0,3.1820732461349004,0.0,0.0,-0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0
DEVI SEA FOODS INC.,1,1,0.0,0.8460722817299166,1,0.0,2.3369570716586625,3.097607234806105,0.0,1.0,3.8871146456065,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nishimoto Trading Co Ltd,1,1,0.0,0.17261923272259005,1,0.0,1.4569252486074185,3.2442635942872595,0.0,1.0,3.196796360171082,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"La Gloria Seafood Imports, Llc",1,1,1.0,1.6921446731816072,1,0.0,1.653819182690491,3.2355160805815055,0.0,1.0,4.188144669430936,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEAFRESH TRADING INC,1,1,1.0,0.2986137335844677,1,0.0,2.889690565970102,3.5351315096993643,0.0,1.0,3.434816955838233,0.0,0.0,-0.0,0.0,0.3010299956639812,0.3010299956639812,0.0,0.0,0.0
Eastern Fish Company,2,1,0.5340884524136013,0.7445470531860379,2,0.0,1.9310390798318124,0.0,0.0,0.0,3.831599327384501,0.0,0.0,0.6908213316329908,0.0,0.0,0.0,1.0,0.0,0.0
"Mical Seafood, Inc.",1,1,1.0,0.02787061074567935,2,1.0,NaN,NaN,0.0,1.0,2.4048536640711045,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gulf King Seafood Co,2,1,1.0,0.05723433368225149,1,0.0,2.4429787438760058,0.0,0.0,1.0,2.7173638094552923,0.0,0.0,0.6779471432401059,0.0,0.0,0.0,0.0,0.0,0.0
Cape Florida Trading Corp,1,1,1.0,0.5852829353810406,1,0.0,NaN,NaN,1.0,1.0,3.7270730402213146,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pescanova,  Inc",3,1,0.4942869196910804,0.11760403289662776,2,0.0,0.8596094501904035,3.4020494891869486,0.25,0.25,3.0301293931863595,0.0,0.0,0.9193840217039619,0.0,0.3010299956639812,0.0,0.0,1.0,0.0
"Tampa Maid Foods, Inc.",1,1,1.0,1.5428376966675992,1,0.0,NaN,NaN,0.0,1.0,4.148027419879303,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sterling Seafood Corp,1,1,1.0,0.05136153057665746,1,1.0,NaN,NaN,0.0,1.0,2.6703451355488115,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mazzetta Company,2,2,1.0,1.2979744658504324,2,0.0,2.7566143279772515,3.06579310046389,0.0,0.0,4.072973327268735,0.0,0.0,0.6746550518684606,0.0,0.0,0.0,0.0,0.0,0.0
Kingmar Seafood Corp,1,1,1.0,0.6071813168066973,1,0.0,NaN,NaN,1.0,1.0,3.7430255779853145,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0
Seafood Trading Corp.,1,1,0.1666383883587561,0.3981381490010581,3,0.0,0.0,3.7506540950702645,1.0,1.0,3.559740971318467,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sea Lion International Inc.,1,1,1.0,0.15428373675022763,1,0.0,NaN,NaN,0.0,0.0,3.148027327222312,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0
Mobil Fish Inc.,2,1,1.0,0.49918266816500556,2,0.0,NaN,NaN,0.0,1.0,3.6579666763404783,0.0,0.0,0.4096055499246687,0.0,0.0,0.0,0.0,0.0,0.0
Ore-Cal Corporation,2,1,1.0,1.196047655612816,1,0.0,2.8892856549768764,3.5666570274980907,0.0,1.0,4.037455662425639,0.0,0.0,0.6479807839590445,0.0,0.0,0.0,0.0,1.0,0.0
"State Fish Company, Inc.",1,1,1.0,0.24884481456098115,1,0.0,NaN,NaN,0.0,0.0,3.355635773620971,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cincinnati Seafood Imports,1,1,1.0,1.6921446731816072,1,0.0,NaN,NaN,0.0,1.0,4.188144669430936,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
